title, post_detail
Emerging role of TVET,The COVID-19 pandemic has hit the labour market hard everywhere. Unemployment has increased and Nepal is no exception. The world of work is rapidly transforming through digitisation and technological innovations demanding continuous skilling and reskilling. The traditional education system chalk and duster learning approach might not prepare today’s youth for the continually evolving world of work. Lack of technical knowledge vocational training and employability skills or simply lack of technical and vocational education and training (TVET) is one of the reasons for unemployment. Private sector partnerships apprenticeships and on the job training (OJT) are crucial to match the labour market needs. TVET addresses issues of skills mismatch through the acquisition of employability skills and provision of high quality relevant training to individuals. TVET offers a wide range of training courses that help acquire skills for any industry. TVET has produced entrepreneurs in the field of health agriculture engineering tourism and hospitality and much more creating job opportunities to farmers technicians electricians mechanics construction workers chefs and healthcare workers to name a few. Currently the job market has witnessed a mismatch between demand and supply. The best solution to unemployment is through industry-institute linkage to ensure that young people acquire the appropriate skills and relevant training from TVET institutes. Council for Technical Education and Vocational Training (CTEVT) launched a TVET public information campaign in February 2020 to create awareness about the benefits of TVET and the employment opportunities available to students teachers and their families. The campaign was a massive success. However due to COV- ID-19 implementation has been affected. The campaign moved online to sustain the momentum it has gained. The campaign has been spreading to the broader public especially returnee migrant workers via the CTEVT Facebook Page. The campaign is encouraging and empowering the people reaching around 4828239 social media users. TEVT should give continuity to such awareness campaigns enhance visibility and branding and mobilise the programmes efficiently to inform the public and support behaviour and perception change towards technical education. The government and concerned stakeholders must also take serious steps toward policy reform. They must explore ways for easy access and enrollment free vocational training job placement of graduates for productive employment. A version of this article appears in print on November 12 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Ambassadors’ appointment: Quality versus party affiliation,The appointment of ambassadors seems to be clearly on the basis of the political parties’ strength in the parliament sidelining professional expertise in the selection. Loyalty of the ambassador-designate towards one particular political party without diplomatic maneuvering skills will hardly bring the results desired by the government The functioning of an ambassador in the host country constitutes an integral component of managing the foreign affairs of any nation. Working as per the broad policy guidelines of the Ministry of Foreign Affairs led by the country’s foreign minister the ambassador represents the nominating government abroad that has a great bearing on enhancing the bilateral relations by way of accelerating mutual cooperation. Such an assignment abroad demands relevant academic qualifications professional training communication skills including command of language executive experience required expertise and diplomatic skills on the part of assigned ambassadors. But the current trend of Nepal seems to be moving in reverse direction. At a time when Nepal is traversing through a path of many hardships since the last few years including the COVID-19 pandemic this year the issue of appointing Nepali envoys abroad may not seem relevant in the present context. But the selection and appointment of envoys have many more consequences and implications – both immediate and long-term – as the country’s image promotion and projection in the external world and garnering support of the friendly countries for Nepal’s development largely depend on how a diplomat displays his skills. Obviously good performance from the ambassadorial position to the extent desired by his country demands high level skills in representation negotiation and public relations by establishing links with people from various walks of life involving academics media business community civic societies professional associations celebrities and intellectuals of the host country. On top of all these thorough knowledge about the main core and instincts of the country’s foreign and defense policy development priorities and need for external assistance are the pre-requisites demanded of an envoy. However the appointment of ambassadorial positions seems to be clearly on the basis of the political parties’ strength in the parliament sidelining professional expertise in the selection. Loyalty of the ambassador-designate towards one particular political party without diplomatic maneuvering skills will hardly bring the results desired by the government. During the erstwhile Panchayat regime and before the restoration of multiparty system envoys were appointed at the discretion of the king on merit basis – loyalty coupled with high caliber professional expertise and past profile. The candidates were selected from among the senior joint secretaries secretaries of the regular Foreign Service cadres or career diplomats and from those who had served the country in various top positions — in the bureaucracy army and Tribhuvan University among others. The other consideration in appointing ambassadors included persons considered suitable for securing the host country’s support on some specific issues of national importance. The current process of selecting the candidates apparently appears to be more rigorous but the quality of the nominees displays a degrading trend. Starting first at the party stage then to the cabinet through the Ministry of Foreign Affairs then to the Parliamentary Special Hearing Committee though its efficacy remains debatable then only to the final appointment after getting the green signal called the Agreemo from the host government. Yet hardly any ambassador in the present context is reportedly hailed as successful thanks to the quota system at the cost of efficiency. Nepal has had many appreciable examples of ambassadorial excellence in the past worth citing. Major General Padam Bahadur Khatry in the late 1960s had played an instrumental role in getting Nepal elected to the Non-Permanent Seat of the UN Security Council. Dr Bhesh Bahadur Thapa who served as envoy to the US twice succeeded in garnering the support of the US for the Peace Zone Proposal of Nepal considered to be a national gain for Nepal at that particular period. Late King Birendra’s state visit to the US was also arranged due to his diplomatic skills and also in arranging appointments for Nepali premiers with two US presidents. Interestingly only three Nepali prime ministers namely B P Koirala Dr Tulsi Giri and Sher Bahadur Deuba have had appointments with US presidents. Likewise Dr Trailokya Nath Upreti was credited for his immense role as ambassador to France and UNESCO. Similarly as Nepal’s ambassador to India Bedananda Jha was able to have separate treaties of Trade and Transit between Nepal and India in the interest of the former. During late Jaya Pratap Rana’s tenure as the permanent representative to the UN Nepal was able to become a non-permanent member of the UN Security Council for the second time. Kedar Bhakta Mathema as Nepal’s envoy to Japan succeeded in having the then Japanese premier pay an official visit to Nepal. Professor Surendra Bahadur Shrestha successfully represented Nepal during the Gulf War. While tracing the few past achievements made by the country’s ambassadors abroad the Nepali intelligentsia and media would like to again see their ambassadors impart a new dimension. In the absence of competent ambassadors among others Nepal lost an opportunity to be a non-permanent member of the UN Security Council in 2006 and chairman of the UN General Assembly. It also failed to maneuver even a short visit of the US president during his visit to South Asia. Also there have not been visits of heads of state or government to Nepal from influential countries since quite a long time due to diplomatic failures including those of ambassadors. A version of this article appears in print on November 12 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
EDITORIAL: Farmers’ woe,This has happened largely because the government has failed to crack down on the industrialists for duping the farmers It’s a farmer’s woe whose end is nowhere in sight. It’s been years since many sugar mills have not cleared their dues to the farmers for the sugarcane purchased. Despite the efforts by the government to have the dues cleared the industrialists have not obliged. Sugarcane is a cash crop that is harvested only once a year and depriving the farmers of their payment puts them in a lot of distress. For one they cannot meet their daily household expenses and worse still many cannot repay the loans taken to purchase among other things fertilisers machinery and other inputs. Domestic sugar mills have been unwilling to clear the dues to the farmers citing heavy losses suffered in running their factories due to huge cheap imports of the commodity from India and Pakistan some three years ago. A flimsy excuse that has discouraged many a farmer from growing sugarcane as is evident from its output in Sarlahi in southeast Nepal. The district used to produce about 3.5 million quintals of sugarcane in the past but its production is likely to be just about half that yield this year. So how can Nepal achieve self-sufficiency in sugar? Different sugar industries owe the farmers a whopping Rs 1.2 billion with Sri Ram Sugar Mills alone owing Rs 350 million including to its staff. One industry – Annapurna Sugar and General Industries – has been holding up payment of about Rs 330 million to thousands of farmers for the past five years. This has happened largely because the government has failed to crack down on the industrialists while paying only lip service to the meek farmers to resolve the issue. It is for reasons like these and faulty government policies that Nepal has not been able to become self-sufficient in sugar. Nepal’s biggest and most modern sugar mill at Birgunj built with assistance of the then Soviet Union for instance closed down soon after the advent of multi-party democracy because of political intervention and party politics. It was producing about 17000 tons of sugar in the Nineties. The government must decide whether it wants to produce all of the country’s demand for sugar in the country itself or keep importing billions of rupees worth of the commodity year after year. It cannot be talking about creating jobs in the country while allowing cheap imports and smuggling through the porous border to continue. If it is serious about industrialising Nepal then it must in all seriousness provide all the support to the entrepreneurs. On the other hand industrialists must stick to ethical business practices such as making timely payments to the farmers and not creating artificial shortages for small gains. Industries are also known to be taking the locals for granted discharging harmful effluent in the surroundings without a thought to the environment. Hence the locals of Kalaiya Bara have padlocked Reliance Sugar and Chemical Industries whose harmful discharge despite an agreement reached some eight years ago have been affecting the lives of the people. Should the industry fail to operate within a month it will be another reason for the dwindling sugar production in the country this year making Nepal heavily reliant on imports for its needs. Revival of tourism The COVID-19 pandemic has not deterred trekking and mountaineering enthusiasts on the major tourist routes. After seven months of complete lockdown the hoteliers and restaurant owners have now resumed their business in Manang district by adopting health measures. The government had also allowed the transport operators and hoteliers to resume their business by adhering to the health protocol. Manang and Mustang are the Himali districts that attract more than 2 lakh tourists in normal time. Trekking agencies and hotel operators resumed their business from October 14. The 14-day trekking route on the Annapurna Circuit has now blossomed with domestic and foreign tourists who were waiting for the government’s permission to reach there. Life in Manang and Mustang largely depends on the hospitality business. However the travel agencies visitors and hotel owners must not compromise on the health protocol prescribed by the government. A single negligence from either side can dash everybody’s hope of reviving the battered tourism business. There is still a long way to go to bring the country’s tourism industry back to normalcy that has gone down by almost 90 per cent due to the pandemic. A version of this article appears in print on November 12 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Sugarcane farmers demand clearance of dues,KATHMANDU NOVEMBER 10 While sugarcane farmers are seeking government support to recoup their dues from sugar mills the mismatch in the outstanding amount as per the government’s and farmers’ calculations could complicate the matter. As per Rakesh Mishra patron of the Sugarcane Farmers Struggle Committee at least 6000 sugarcane farmers have not received Rs 360 million — Rs 300 million from Annapurna Sugar and General Industries for the past five years and Rs 60 million from Mahalaxmi Sugar Mill for the last two years — in Sarlahi district alone. He further informed that the total outstanding amount that farmers across the country need to receive is a whopping Rs 1.2 billion. On the other hand Urmila KC undersecretary and assistant spokesperson for the Ministry of Industry Commerce and Supplies said that a majority of sugar mills have already released payments to the farmers. “Farmers have not received payments from four sugar mills — Annapurna Sugar and General Industries (Rs 330 million) of Sarlahi Lumbini Sugar Mill (Rs 84.1 million) of Nawalparasi Indira Sugar and Agro Industries (Rs 47 million) of Nawalparasi and Sri Ram Sugar Mills (Rs 350 million including payments of staff) of Rautahat” she said. Among them Sri Ram Sugar Mills has made a commitment to clear the dues by selling the land on which the factory is based as per KC. “We have requested the Ministry of Home Affairs to issue instructions to the concerned District Administration Offices to facilitate in collecting the payment worth Rs 790 million from the four sugar mills as soon as possible” she informed adding “Similarly initiatives are being taken to hold meetings with the owners of those mills that have still not made the payments.” Meanwhile Kapil Muni Mainali president of Nepal Sugar Producers Federation also estimates that there is around Rs 800 million in total remaining to be paid to cane farmers by the sugar mills. Despite the mismatch in the outstanding amount as per the government’s estimation and farmers’ calculation one thing is clear that sugarcane farmers have been deprived of getting millions of their outstanding amount from the sugar mills for the past many years. Mishra shared that since the sugarcane farmers have been facing problems in receiving their due payments most of them have started growing other crops. “Sarlahi alone used to yield 3.5 to five million quintals of sugarcane in previous years but it is likely to decrease to two million quintals this year” he mentioned. He further shared that the government’s vision of prosperous Nepal is meaningless as it has not been able to solve the problems of farmers because agriculture is the foundation of a prosperous Nepal. Meanwhile Sashi Kant Agrawal president of Nepal Sugar Mills Association stated that some of the sugar mills have not been paying the sugarcane farmers for the past many years and farmers should receive their payments. He said domestic sugar mills have not been able to pay farmers as they have been facing heavy losses due to huge import of cheap sugar from India and Pakistan around three years back. “However payments must be made to farmers regardless of the loss. The government has to call the industrialists and make them commit to pay the farmers by giving them a certain time limit and last warning.” He added “The government had asked the industrialists to make payments earlier too but neither the government could take strict action against the industrialists nor have the industrialists implemented the agreement.” Following the government’s failure to fulfil its commitment to clear the dues of sugarcane farmers within January 21 as per the agreement signed on January 3 a team of sugarcane farmers from Sugarcane Farmers Struggle Committee had visited the Minister of Industry Commerce and Supplies Lekhraj Bhatt on Sunday. The team handed over a memorandum to the minister asking him to implement the pact signed on January 3 and demanded that their outstanding payments be cleared within Chhath failing which they will start a protest from December 12. Featured Image: File/Photo READ ALSO:  A version of this article appears in print on November 11 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Hyatt Regency Kathmandu wins award,KATHMANDU: Hyatt Regency Kathmandu announced on Tuesday that it has been recognised as Nepal’s Leading Hotel by World Travel Awards during the 27th annual event. This is the fifth consecutive win for the hotel after having won it from 2016 to 2020 as well as for the years 2008 2009 2011 and 2013. Strategically situated near the international airport and in walking distance to the UNESCO World Heritage site Boudhanath Stupa Hyatt Regency Kathmandu opened its doors in 2000. “We are really humbled by this recognition. The industry is going through a different phase currently and an award such as this is going to boost our morale” said General Manager Rajesh Ramdas. A version of this article appears in print on November 11 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Huawei to sell phone unit for $15 bln to Shenzhen gov’t Digital China others: sources,HONG KONG: Huawei plans to sell budget-brand smartphone unit Honor in a 100 billion yuan ($15.2 billion) deal to a consortium led by handset distributor Digital China and the government of its home town of Shenzhen people with knowledge of the matter told Reuters. The plan comes as U.S. restrictions on supplying Huawei Technologies Co Ltd force the world’s second-biggest smartphone maker – after South Korea’s Samsung Electronics Co Ltd – to focus on high-end handsets and corporate-oriented business the people said. It also indicates little expectation for any swift change in the U.S. perception of Huawei as a security risk following a new U.S. administration one of the people said. The all-cash sale will include almost all assets including brand research & development capabilities and supply chain management the people said. Huawei could announce it as early as Sunday one of the people said. Main Honor distributor Digital China Group Co Ltd will become a top-two shareholder of sold-off entity Honor Terminal Co Ltd with a near-15% stake said two of the people. Honor Terminal was incorporated in April and is fully owned by Huawei the corporate registry showed. Digital China which also partners Huawei in businesses such as cloud computing plans to finance the bulk of the deal with bank loans the two people said. It will be joined by at least three investment firms backed by the government of financial and technology hub Shenzhen with each owning 10% to 15% they said. After the sale Honor plans to retain most of its management team and 7000-plus workforce and go public within three years the people said declining to be identified due to confidentiality constraints. Honor declined to comment. Huawei and the Shenzhen government did not respond to requests for comment. Digital China – which did not respond to request for comment on Tuesday – in a stock exchange filing on Wednesday said it had not reached any agreement with Huawei about the Honor brand to date. “It seems to be a drastic move given the Honor brand has been highly complementary to Huawei’s smartphone portfolio” said Nicole Peng mobility vice president at researcher Canalys. “The interesting synergy with potential buyers actually can be Honor’s IoT (Internet of Things) business.” Honor is one of several brands seeking growth by turning phones into controllers of internet-connected devices such as home appliances. SANCTIONS Shares of Digital China hit the maximum upper trading limit of 10% at 31.68 yuan ($4.80) on Tuesday after Reuters reported Huawei’s Honor sale plan. “Digital China is a major distributor for Honor in China so we think this will help Honor maintain its market share in China” said Tom Kang research director at Counterpoint. “But its overseas operations may struggle as the U.S. policy on a spin-off is not clear and Huawei’s huge marketing support may not be present.” The U.S. government last year restricted U.S. companies from conducting business with Huawei – also the world’s biggest telecoms equipment vendor – citing national security concerns. Huawei has repeatedly denied being a risk. In May Washington announced rules constricting Huawei’s ability to procure chips featuring U.S. technology for use in fifth-generation (5G) telecommunications network equipment and smartphones such as its premium P and Mate series. Huawei established Honor in 2013 but the business mostly operates independently. Divestment could mean Honor is no longer subject to Huawei’s U.S. sanctions analysts said. Honor sells smartphones through its own websites and third-party retailers in China where it competes with Xiaomi Corp Oppo and Vivo in the lower-priced handset market. It also sells phones in Southeast Asia and Europe. Honor-brand smartphones made up 26% of the 51.7 million handsets Huawei shipped in July-September showed estimates from Canalys. Honor’s products also include laptops tablet computers and smart TVs. With low-end phone margins thin Honor booked 6 billion yuan in net profit on revenue of 90 billion yuan last year said one of the people citing audited figures. 							Follow The Himalayan Times on							Twitter							and							Facebook 
CBS says 2021 census to be more comprehensive,KATHMANDU NOVEMBER 9 The 12th series of National Population Census is scheduled to be conducted for 15 days from June 8 to 22 in 2021 and as per the Central Bureau of Statistics (CBS) the upcoming census will collect more descriptive details as well as additional details than the previous census. During the video conference jointly organised by CBS and Society of Economic Journalists Nepal (SEJON) Nebin Lal Shrestha director general of CBS said that the upcoming census will collect the detailed description of the households such as ownership its uses and structure. Similarly the description related to land used for agricultural purpose and its area number of animals and birds number of households constructed with the grant provided by the government and number of people who have taken vocational training and skilled manpower among others will also be included. “Access to financial facilities (account and loan in banks and financial institutions) is an addition to the questionnaire this time” said Shrestha. Description of facilities used by households such as drinking water toilet cooking fuel electricity television phone vehicles etcetera will also be collected during the census. Similarly the census will collect the details of property in the name of women small family businesses absentees in family due to labour migration and details of their work/profession. Shrestha mentioned that the census will also collect data about working status institutional area reasons for not working and job search. He also said that data will also be collected at the ward level to verify the statistics collected from the household level among others. CBS has prepared a questionnaire of 80 questions for 2021 census. CBS has projected that there are around seven million households and the population stands at 30 million in the country at the moment. With the slogan ‘My Census My Participation National Population Census 2021’ CBS expects participation and support from everyone in the upcoming census. To reach every populace and make 2021 census successful CBS will be forming eight different coordination committees encompassing different tiers of government from the central to ward level and also technical and thematic committees. The 2021 census will be the first to be conducted under federal Nepal. Around 43000 enumerators and 9000 supervising staff will be mobilised to collect data. “Earlier teachers used to be taken as enumerators but this time people from local levels will be given opportunities to be enumerators. They will be invited through open advertising” Shrestha informed. As per Shrestha master trainers will be trained from mid-January and they will later train the enumerators. Stating that pilot census was conducted during the time of COVID 19 crisis adopting health safety protocols Shrestha said that 2021 census also will be done in the same way. Meanwhile Junarbabu Basnet chief reporter at Gorkhapatra Daily said that accurate statistics of the census are important for disseminating right information from the media so that the public can make right decisions based on right statistics and the government can draft right policies plans and programmes. Similarly Bhim Gautam president of SEJON said there is a need for training for economic journalists on how to read analyse present and simplify statistics to help public understand the statistics. Meanwhile Suman Aryal joint secretary of the National Planning Commission highlighted the importance of transparency and stakeholder participation during census for the quality of the statistics that are collected. A version of this article appears in print on November 10 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
TCL launches P715 and P615 4K TVs,KATHMANDU: TCL which is globally recognised for offering affordable television sets has launched the new P715 and P615 4K mid-range television series in Nepal. The TCL 4K Android TVs come pre-installed with a wide range of global and local apps that bring unlimited on-demand content. All models in the range feature 4K resolution screens and Android TV software. The company has said that the TCL P715 will come powered with artificial intelligence and far field voice recognition. It is available in 75-inch screen size. The entire TV range will be 4K and will run on the latest 9 Pie version of Android. The HDR10 format for high dynamic range content is supported on the TCL P715. Meanwhile TCL P615 will be available in 43-inch and 50- inch screen sizes. The P615 offers a stunning viewing experience with 4K HDR — astonishing brightness incomparable contrast captivating colour and enhanced detail retention. It comes with Android operating system featuring a wide range of on-demand entertainment platforms plus users can download more via the Google Play Store. Additionally with built-in Google Assistant P615 allows users to control TV with voice commands. CG EOL is authorised distributor for TCL products in Nepal.   A version of this article appears in print on November 09 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Domestic production to meet flower demand,KATHMANDU NOVEMBER 8 In previous years the country used to import thousands of flower garlands to meet the demand for the same during Tihar. However domestic production is expected to fulfil the requirement this year. The rise in domestic production and also a possible decline in demand due to the COVID-19 pandemic are expected to contribute to the country not having to import flowers in Tihar this year. According to Kumar Kasaju Shrestha president of the Floriculture Association Nepal domestic production will suffice to meet the market demand for flowers and garlands this Tihar because many people are still scared of travelling and demand will be tepid due to the pandemic. “So we will not have to import flowers this Tihar like in the previous years” he added. He informed that in the upcoming Tihar there will be demand for about 1.5 million units of garlands — 1.2 million units of marigold garlands (Sayapatri) and 300000 units of globe amaranth (Makhamali) garlands. Last year floriculture entrepreneurs had sold around 2.5 million units of garlands of which about 300000 units were imported from India. As per Shrestha consumers will be able to purchase marigold garlands at Rs 60 to Rs 70 per unit and globe amaranth garlands at Rs 30 to Rs 50 a unit while farmers will get Rs 40 to Rs 45 for each unit of marigold garland and Rs 20 to Rs 25 for each unit of globe amaranth garland. At present marigold flowers are being cultivated commercially in around 157 hectares of land in 32 districts across the country. Districts such as Chitwan Makawanpur and Sindhuli have the highest production of marigold flowers whereas Kathmandu Bhaktapur and Lalitpur also produce the flower in significant numbers. Commercial marigold farming has also been started in districts like Dhading Nuwakot Kailali Rupandehi Jajarkot Doti Dipayal and Surkhet. “Many people have started commercial farming of marigold in Nepal these days due to its whopping demand in urban markets and the satisfactory returns” Shrestha mentioned. Meanwhile globe amaranth flowers are mainly grown in rural parts of Bhaktapur Kathmandu and Lalitpur districts. “People have started cultivating this flower in the eastern parts of the country too including Palpa” he informed. There are over 700 entrepreneurs actively engaged in the floriculture industry of the country at the moment and there are around 43000 farmers directly involved in growing flowers. Although Nepal had been dependent on imports for marigold flowers it has been self-reliant in globe amaranth flowers. In fact the country has been exporting globe amaranth garlands abroad where Nepalis reside and celebrate Bhai Tika. As per Shrestha the country had exported 200000 units of globe amaranth garlands to various countries last year. “However demand has not been confirmed yet this year” he added. Meanwhile the Godavari Flower Exhibition which is organised in between Dashain and Tihar every year will not be held this year due to the coronavirus pandemic as per Shrestha. A version of this article appears in print on November 09 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
‘Evacuate stranded Nepalis through regular flights’,KATHMANDU NOVEMBER 8 The COVID-19 Crisis Management Centre (CCMC) has recommended the government to stop evacuation flights and repatriate Nepalis who are still stranded in various destinations through regular flights. According to Member Secretary of CCMC Mahendra Guragain the diplomatic missions located in different countries have informed that there are not many Nepalis now who are stranded abroad. “As regular flights have also resumed operations the remaining stranded Nepalis can be brought back by accommodating them in regular flights. So the CCMC meeting held today has decided that the evacuation flights are not necessary any more” Guragain said. “More stranded Nepalis will be brought back to the country for a few more days till there is flight permission for evacuation flights” he added. So far a total of 136216 Nepali citizens stranded in different countries due to the COVID-19 pandemic have been brought back to Nepal through 911 evacuation flights as per Guragain. “Among them there were also a few regular passengers and foreigners” he informed. As per Guragain CCMC will soon submit the detailed data analysis report to the Cabinet.   A version of this article appears in print on November 09 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Samsung may launch flagship phone early to grab Huawei share: sources,SEOUL: Samsung Electronics Co Ltd may launch its flagship Galaxy S smartphones more than a month earlier than expected in a bid to grab market share from Huawei and fend off competition from Apple Inc three sources familiar with the matter said. Huawei Technologies Co Ltd once challenged Samsung’s top position in the global smartphone market but the Chinese rival is in survival mode with U.S. restrictions choking off its supplies of chips used in smartphones and telecom equipment. South Korean chip industry officials hope Joe Biden’s presidency will ease some of those restrictions although they are far from certain as they also expect the incoming U.S. administration to maintain a tough stance on China. Samsung is preparing to launch its new Galaxy S21 as early as late January next year whereas it previously launched its flagship S20 phone in early March this year the sources said asking not to be identified because the plan is not public. Samsung Electronics declined to comment. The South Korean company shipped 59% fewer Galaxy S20 5G series handsets in the United States in the second quarter compared to the previous model’s performance a year earlier according to research firm Canalys. In contrast Apple shipped 15% more of its flagship iPhone 11 than last year’s best-seller the iPhone XR. Samsung which lost its No.1 position to Huawei in the second quarter regained the crown in the third thanks in part to the U.S. restrictions on Huawei. A person at one major supplier of smartphone chips said Huawei’s stockpiles were expected to run out some time early next year. Samsung however faces intensifying competition from Chinese rivals like Xiaomi and Oppo which are expected to take advantage of Huawei’s struggle to retain market share. Apple also launched its iPhone series in October about a month later than usual stepping up competition. 							Follow The Himalayan Times on							Twitter							and							Facebook 
75pc factories in Hetauda Industrial Estate to be booked,HETAUDA NOVEMBER 8 Over 75 per cent of the factories within the Hetauda Industrial Estate have been found to be operating without obtaining a permit for the weighing machines from the department under Bureau of Standards and Metrology. There are around 111 factories in the Hetauda Industrial Estate but only 25 of them have obtained permission for measurement standard to distribute industrial products according to the Standards and Metrology Regional Office in Birgunj. There are various factories producing noodles biscuits flour dairy products mineral water soap washing powder and paints among others being run within the estate. Chief of the Standards and Metrology Regional Office in Birgunj Sashibhusan Yadav said all the factories should test their weighing scale and obtain a permit to conduct transactions. Those not abiding by this rule are subject to action as per the Standard Measurement and Weight Act-2025 (1968). The scale machine — be it analogue or digital — needs to be examined to protect consumers’ rights and welfare. Such weighing scales need to be certified every two years. A four-member team led by Assistant Inspector of the regional office Birendra Upadhyay checked the status of the renewal of the scale machines of 60 enterprises and firms.   A version of this article appears in print on November 09 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
Price of precious metals surges significantly,KATHMANDU NOVEMBER 7 The price of precious metals surged in the trading week between November 1 and 6 as investors reaped the benefits of a lower US dollar in an uncertain environment where markets are betting on a Biden win in the US presidential election. According to the price rate of Federation of Nepal Gold and Silver Dealers’ Association (FeNe- GoSiDA) gold was traded at Rs 95000 per tola on Sunday and its price remained unchanged the next day. On Tuesday the bullion price rose by Rs 400 a tola to Rs 95400 per tola and surged by Rs 900 a tola to Rs 96300 per tola on Wednesday. On Thursday however the price of the precious yellow metal dipped by Rs 100 a tola to be traded at Rs 96200 per tola. Then on Friday gold price soared by Rs 1000 a tola to close the trading week at Rs 97200 per tola. The bullion price went up by Rs 2200 a tola or 2.31 per cent over the review period. According to Reuters gold prices rose in the international markets on Monday as investors remained nervous ahead of the US presidential election on November 3 and as a surge in COVID-19 cases and renewed lockdowns in some countries increased uncertainty about the global economic outlook. Then on Tuesday gold prices held steady as a jump in riskier assets offset the impact of strict lockdowns across Europe and markets are wary while awaiting results of the US presidential election. Gold fell more than one per cent on Wednesday as the dollar emerged as the favoured safe haven from a much closer US presidential race than investors expected following President Donald Trump’s strong performance in some swing states. The precious yellow metal held firm in a narrow range on Thursday as investors were cautiously optimistic that Democrat Joe Biden would edge past President Donald Trump in a tight race to the White House. On Friday gold rose en route to its best week in more than three months as the dollar slid on uncertainty surrounding the US election outcome with bets for continued pandemic-led stimulus and accommodative monetary policy bolstering bullion’s appeal. Meanwhile silver was priced at Rs 1195 per tola on Sunday as per the federation. Its price went up by Rs 10 a tola to Rs 1205 per tola on Monday and jumped by another five rupees a tola to Rs 1210 per tola on Tuesday. On Wednesday however silver price fell by five rupees a tola to Rs 1205 per tola. The grey metal recovered the loss the very next day by rising five rupees a tola to be traded at Rs 1210 per tola on Thursday. Then on Friday silver price advanced by Rs 45 a tola to close the week at Rs 1255 per tola. The price of the grey metal rose by Rs 60 a tola or 5.02 per cent during the review week. A version of this article appears in print on November 08 2020 of The Himalayan Times. 							Follow The Himalayan Times on							Twitter							and							Facebook 
